metric,value,expected,status
Total stock weight,552312.3 kg,552312.3 (unchanged),✅ PASS
StockLot count,1115,1115 (unchanged),✅ PASS
StockTransfer count,10,10 (unchanged),✅ PASS
SortingBill count,144,144 (unchanged),✅ PASS
BuyBill count,158,158 (unchanged),✅ PASS
SellBill count,18,18 (unchanged),✅ PASS
Product count,113,113 (unchanged),✅ PASS
TRN-2569-00006 businessType,แกะของ,แกะของ (unchanged),✅ PASS
TRN-2569-00008 businessType,คัดแยก,คัดแยก (unchanged),✅ PASS
TRN-2569-00009 businessType,คัดแยก,คัดแยก (unchanged),✅ PASS
DB writes in code diff,0,0 (UI-only change),✅ PASS
