metric,value,expected,status
SortingBill count,144,unchanged (no records created/modified),✅ PASS
StockTransfer count,10,unchanged (no records created/modified),✅ PASS
BuyBill count,158,unchanged,✅ PASS
SellBill count,18,unchanged,✅ PASS
Product count,113,unchanged,✅ PASS
StockLot count,1115,unchanged,✅ PASS
Total stock weight,552312.3,unchanged,✅ PASS
TRN-2569-00006 duplicates,1,1 (no duplicate),✅ PASS
TRN-2569-00008 duplicates,1,1 (no duplicate),✅ PASS
TRN-2569-00009 duplicates,1,1 (no duplicate),✅ PASS
