file_name,bill_number,reason
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051367,Appeared 8x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051371,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051372,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051377,Appeared 4x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051383,Appeared 4x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051384,Appeared 3x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051381,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051364,Appeared 11x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051376,Appeared 12x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051365,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051374,Appeared 5x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051380,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 6-7-2569 แบบละเอียด.xls,A1051387,Appeared 3x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051393,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051397,Appeared 4x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051400,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051412,Appeared 3x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051390,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051408,Appeared 3x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051392,Appeared 5x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051416,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051399,Appeared 3x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 7-7-2569 แบบละเอียด.xls,A1051403,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051424,Appeared 4x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051427,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051421,Appeared 6x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051432,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051425,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
ซื้อ 8-7-2569 แบบละเอียด.xls,A1051420,Appeared 2x within file (grouped into 1 bill — no DB duplicate)
