No.,product name,start date,output filename,rows included,total weight included,total amount included,first purchase date included,last purchase date included,rows excluded before start date,weight excluded before start date,amount excluded before start date,match status,note
1,อลูมิเนียมกระป๋อง,25/06/2569,อลูมิเนียมกระป๋องเริ่ม 25-06-2569.csv,12,208.7,16275.5,25/06/2569,06/07/2569,113,2735.4,208361.5,matched_partial_included,bill-level rows after start date
2,อลูมิเนียมสายไฟ,23/06/2569,อลูมิเนียมสายไฟเริ่ม 23-06-2569.csv,3,2.8,246.8,29/06/2569,01/07/2569,18,1820.1,162388.3,matched_partial_included,bill-level rows after start date
3,อลูมิเนียมบาง,27/06/2569,อลูมิเนียมบางเริ่ม 27-06-2569.csv,32,197.8,13457.3,27/06/2569,06/07/2569,242,2378.2,163679.8,matched_partial_included,bill-level rows after start date
4,อลูมิเนียมตูดกระทะไฟฟ้า,05/07/2569,อลูมิเนียมตูดกระทะไฟฟ้าเริ่ม 05-07-2569.csv,1,0.5,11.5,06/07/2569,06/07/2569,0,0,0,matched_included,bill-level rows after start date
5,อลูมิเนียมมุ้งลวด,31/03/2569,อลูมิเนียมมุ้งลวดเริ่ม 31-03-2569.csv,1,0.2,3.4,24/06/2569,24/06/2569,0,0,0,matched_included,bill-level rows after start date
6,อลูมิเนียมมู่ลี่,23/06/2569,อลูมิเนียมมู่ลี่เริ่ม 23-06-2569.csv,1,7.2,280.8,27/06/2569,27/06/2569,5,28,587.4,matched_partial_included,bill-level rows after start date
7,อลูมิเนียมฉาก,24/06/2569,อลูมิเนียมฉากเริ่ม 24-06-2569.csv,6,66.5,6079,24/06/2569,03/07/2569,60,566.6,50332.4,matched_partial_included,bill-level rows after start date
8,หม้อน้ำอลูมิเนียม,23/06/2569,หม้อน้ำอลูมิเนียมเริ่ม 23-06-2569.csv,6,53.1,3215.9,26/06/2569,06/07/2569,51,392.9,20435.4,matched_partial_included,bill-level rows after start date
9,อลูมิเนียมเครื่อง,23/06/2569,อลูมิเนียมเครื่องเริ่ม 23-06-2569.csv,1,42.4,3476.8,24/06/2569,24/06/2569,0,0,0,matched_included,bill-level rows after start date
10,อลูมิเนียมครีบหม้อน้ำ,01/04/2569,อลูมิเนียมครีบหม้อน้ำเริ่ม 01-04-2569.csv,9,47.6,1333.4,09/05/2569,30/06/2569,1,15,225,matched_partial_included,bill-level rows after start date
11,อลูมิเนียมอัลลอย,23/06/2569,อลูมิเนียมอัลลอยเริ่ม 23-06-2569.csv,1,2.2,105.6,26/06/2569,26/06/2569,5,2.4,132.9,matched_partial_included,bill-level rows after start date
12,สายไฟอลูมิเนียม,05/07/2569,สายไฟอลูมิเนียมเริ่ม 05-07-2569.csv,1,3.7,318.2,06/07/2569,06/07/2569,1,3.8,76,matched_partial_included,bill-level rows after start date
13,ขี้กลึงอลูมิเนียม,22/01/2569,ขี้กลึงอลูมิเนียมเริ่ม 22-01-2569.csv,1,427.4,4274,22/01/2569,22/01/2569,1,43,1290,matched_partial_included,bill-level rows after start date
14,ทองแดงใหญ่,04/07/2569,ทองแดงใหญ่เริ่ม 04-07-2569.csv,10,44.7,17836.9,04/07/2569,06/07/2569,270,1356.4,505654.6,matched_partial_included,bill-level rows after start date
15,ทองแดงเล็ก,04/07/2569,ทองแดงเล็กเริ่ม 04-07-2569.csv,5,17.6,7026.7,06/07/2569,06/07/2569,191,819.4,304419.9,matched_partial_included,bill-level rows after start date
16,ทองแดงชุบ,04/07/2569,ทองแดงชุบเริ่ม 04-07-2569.csv,2,1,377,06/07/2569,06/07/2569,48,72.6,23935.4,matched_partial_included,bill-level rows after start date
17,สแตนเลส 304,05/02/2569,สแตนเลส 304เริ่ม 05-02-2569.csv,111,3960,139943.8,05/02/2569,06/07/2569,19,650.3,19005.6,matched_partial_included,bill-level rows after start date
18,สแตนเลส 202,05/02/2569,สแตนเลส 202เริ่ม 05-02-2569.csv,53,370.9,4377.6,06/02/2569,03/07/2569,8,38.1,361.7,matched_partial_included,bill-level rows after start date
19,สแตนเลส 304 ยาว,05/02/2569,สแตนเลส 304 ยาวเริ่ม 05-02-2569.csv,38,1809.6,58990.9,05/02/2569,04/07/2569,12,3304.8,97374.5,matched_partial_included,bill-level rows after start date
20,ขี้กลึงสแตนเลส 304,22/01/2569,ขี้กลึงสแตนเลส 304เริ่ม 22-01-2569.csv,1,41.2,412,22/01/2569,22/01/2569,0,0,0,matched_included,bill-level rows after start date
21,ตะกั่วนิ่ม,27/05/2569,ตะกั่วนิ่มเริ่ม 27-05-2569.csv,1,1.3,61.1,09/06/2569,09/06/2569,5,40.8,1857.1,matched_partial_included,bill-level rows after start date
22,ตะกั่วแข็ง,27/05/2569,ตะกั่วแข็งเริ่ม 27-05-2569.csv,9,66.8,4626.2,28/05/2569,03/07/2569,35,187.4,11658,matched_partial_included,bill-level rows after start date
23,ขี้กลึงตะกั่ว,22/01/2569,ขี้กลึงตะกั่วเริ่ม 22-01-2569.csv,1,209.6,2096,22/01/2569,22/01/2569,0,0,0,matched_included,bill-level rows after start date
24,มอเตอร์,03/07/2567,มอเตอร์เริ่ม 03-07-2567.csv,3,24,504,27/02/2569,23/03/2569,0,0,0,matched_included,bill-level rows after start date
25,คอมดำ,29/07/2567,คอมดำเริ่ม 29-07-2567.csv,6,204.6,4627.1,12/01/2569,06/07/2569,0,0,0,matched_included,bill-level rows after start date
26,ทองแดงปอก,04/07/2569,ทองแดงปอกเริ่ม 04-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
27,ทองแดงช็อต,04/07/2569,ทองแดงช็อตเริ่ม 04-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
28,หม้อน้ำทองแดง,04/07/2569,หม้อน้ำทองแดงเริ่ม 04-07-2569.csv,0,0,0,,,20,505.1,99712.1,matched_excluded,
29,ทองเหลือง,04/07/2569,ทองเหลืองเริ่ม 04-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
30,ทองเหลืองเนื้อแดง,04/07/2569,ทองเหลืองเนื้อแดงเริ่ม 04-07-2569.csv,0,0,0,,,1,15.1,4575.3,matched_excluded,
31,หม้อน้ำทองเหลือง,04/07/2569,หม้อน้ำทองเหลืองเริ่ม 04-07-2569.csv,0,0,0,,,8,123.9,28171.6,matched_excluded,
32,ขี้กลึงทองเหลือง,21/04/2569,ขี้กลึงทองเหลืองเริ่ม 21-04-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
33,ขี้กลึงทองเหลืองเนื้อแดง,13/05/2568,ขี้กลึงทองเหลืองเนื้อแดงเริ่ม 13-05-2568.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
34,สแตนเลสดูดติด,05/02/2569,สแตนเลสดูดติดเริ่ม 05-02-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
35,สแตนเลสติดเหล็ก,05/02/2569,สแตนเลสติดเหล็กเริ่ม 05-02-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
