source sheet,source row number,sale date,product start date,bill number,buyer/customer code,buyer/customer name,raw product name,matched product name,product code,weight,unit,price per kg,amount,note,exclusion reason
Sheet1,289,09/01/2569,25/06/2569,A2007359,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,0201,198,กก.,72.3585858585859,14327,,Sale date is before product start date
Sheet1,290,06/02/2569,25/06/2569,A2007397,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,0201,318.4,กก.,72.6790201005025,23141,,Sale date is before product start date
Sheet1,291,01/04/2569,25/06/2569,A2007475,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,0201,595,กก.,80.346218487395,47806,,Sale date is before product start date
Sheet1,292,24/06/2569,25/06/2569,A2007609,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,0201,845,กก.,85.8473372781065,72541,,Sale date is before product start date
Sheet1,296,09/01/2569,23/06/2569,A2007359,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมล้อแม็ค,อลูมิเนียมล้อแม็ก,0202,99.2,กก.,69.2237903225807,6867,,Sale date is before product start date
Sheet1,297,31/03/2569,23/06/2569,A2007473,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมล้อแม็ค,อลูมิเนียมล้อแม็ก,0202,235,กก.,93.5531914893617,21985,,Sale date is before product start date
Sheet1,301,08/01/2569,23/06/2569,A2007351,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,0203,6.8,กก.,86,584.8,,Sale date is before product start date
Sheet1,302,05/02/2569,23/06/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,0203,276,กก.,89.6739130434783,24750,,Sale date is before product start date
Sheet1,303,31/03/2569,23/06/2569,A2007472,708,บริษัท โกลบอล เวนเจอร์ โซลูชั่นส์ จำกัด,อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,0203,968,กก.,101.297520661157,98056,,Sale date is before product start date
Sheet1,307,08/01/2569,27/06/2569,A2007353,0001,ลูกค้าทั่วไป,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,0.3,กก.,55,16.5,,Sale date is before product start date
Sheet1,308,09/01/2569,27/06/2569,A2007356,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,137,กก.,68.9386861313869,9444.6,,Sale date is before product start date
Sheet1,309,06/02/2569,27/06/2569,A2007397,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,269,กก.,64.9907063197026,17482.5,,Sale date is before product start date
Sheet1,310,18/03/2569,27/06/2569,A2007450,0001,ลูกค้าทั่วไป,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,0.1,กก.,100,10,,Sale date is before product start date
Sheet1,311,01/04/2569,27/06/2569,A2007476,016,เฮียน้ำ มีเนียม,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,236,กก.,74.3898305084746,17556,,Sale date is before product start date
Sheet1,312,01/04/2569,27/06/2569,A2007477,016,เฮียน้ำ มีเนียม,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,412,กก.,76,31312,,Sale date is before product start date
Sheet1,313,28/05/2569,27/06/2569,A2007562,708,บริษัท โกลบอล เวนเจอร์ โซลูชั่นส์ จำกัด,อลูมิเนียมบาง,อลูมิเนียมบาง,0204,805,กก.,87.5403726708074,70470,,Sale date is before product start date
Sheet1,317,08/01/2569,27/06/2569,A2007351,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมแข็ง (หล่อ/หนา),อลูมิเนียมแข็ง,0205,343,กก.,65.2521865889213,22381.5,,Sale date is before product start date
Sheet1,318,05/02/2569,27/06/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมแข็ง (หล่อ/หนา),อลูมิเนียมแข็ง,0205,571,กก.,66.4719789842382,37955.5,,Sale date is before product start date
Sheet1,319,31/03/2569,27/06/2569,A2007472,708,บริษัท โกลบอล เวนเจอร์ โซลูชั่นส์ จำกัด,อลูมิเนียมแข็ง (หล่อ/หนา),อลูมิเนียมแข็ง,0205,1502,กก.,78.8308921438083,118404,,Sale date is before product start date
Sheet1,320,28/05/2569,27/06/2569,A2007562,708,บริษัท โกลบอล เวนเจอร์ โซลูชั่นส์ จำกัด,อลูมิเนียมแข็ง (หล่อ/หนา),อลูมิเนียมแข็ง,0205,2405,กก.,93.9293139293139,225900,,Sale date is before product start date
Sheet1,321,23/06/2569,27/06/2569,A2007603,026,เอ็น เอส  (นิว โซลูชั่น),อลูมิเนียมแข็ง (หล่อ/หนา),อลูมิเนียมแข็ง,0205,440.6,กก.,73.255220154335,32276.25,,Sale date is before product start date
Sheet1,325,08/01/2569,23/06/2569,A2007351,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมกะทะ,อลูมิเนียมกระทะ,0209,2.5,กก.,52,130,,Sale date is before product start date
Sheet1,326,05/02/2569,23/06/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมกะทะ,อลูมิเนียมกระทะ,0209,11.200000000000001,กก.,51.4553571428571,576.3,,Sale date is before product start date
Sheet1,339,09/01/2569,23/06/2569,A2007356,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมมู่ลี่,อลูมิเนียมมู่ลี่,0212,5.2,กก.,41.5384615384615,216,,Sale date is before product start date
Sheet1,340,31/03/2569,23/06/2569,A2007473,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมมู่ลี่,อลูมิเนียมมู่ลี่,0212,20.2,กก.,53.36633663366341,1078,,Sale date is before product start date
Sheet1,344,06/02/2569,23/06/2569,A2007397,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมฝา,ฝาอลูมิเนียม,0213,23.8,กก.,56.7226890756303,1350,,Sale date is before product start date
Sheet1,345,31/03/2569,23/06/2569,A2007473,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมฝา,ฝาอลูมิเนียม,0213,58.4,กก.,63.4246575342466,3704,,Sale date is before product start date
Sheet1,349,09/01/2569,24/06/2569,A2007359,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมฉาก,อลูมิเนียมฉาก,0215,14,กก.,78,1092,,Sale date is before product start date
Sheet1,350,09/01/2569,24/06/2569,A2007356,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมฉาก,อลูมิเนียมฉาก,0215,160,กก.,68.384375,10941.5,,Sale date is before product start date
Sheet1,351,06/02/2569,24/06/2569,A2007397,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,อลูมิเนียมฉาก,อลูมิเนียมฉาก,0215,205,กก.,69.8536585365854,14320,,Sale date is before product start date
Sheet1,352,07/02/2569,24/06/2569,A2007400,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมฉาก,อลูมิเนียมฉาก,0215,32.4,กก.,77.4074074074074,2508,,Sale date is before product start date
Sheet1,353,31/03/2569,24/06/2569,A2007473,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),อลูมิเนียมฉาก,อลูมิเนียมฉาก,0215,528.4,กก.,88.5181680545042,46773,,Sale date is before product start date
Sheet1,358,08/01/2569,23/06/2569,A2007351,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,หม้อน้ำอลูมิเนียม,หม้อน้ำอลูมิเนียม,0216,18,กก.,55,990,,Sale date is before product start date
Sheet1,359,05/02/2569,23/06/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,หม้อน้ำอลูมิเนียม,หม้อน้ำอลูมิเนียม,0216,24.6,กก.,56.7682926829268,1396.5,,Sale date is before product start date
