source sheet,source row number,sale date,product start date,bill number,buyer/customer code,buyer/customer name,raw product name,matched product name,product code,weight,unit,price per kg,amount,note,exclusion reason
Sheet1,6,07/01/2569,,A2007348,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29015,กก.,10.6471411338963,308926.8,,Unmatched steel — out of scope
Sheet1,7,10/01/2569,,A2007361,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29195,กก.,10.4594588114403,305363.9,,Unmatched steel — out of scope
Sheet1,8,16/01/2569,,A2007370,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29290,กก.,10.8551553431205,317947.5,,Unmatched steel — out of scope
Sheet1,9,02/02/2569,,A2007390,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29115,กก.,11.0590692083119,321984.8,,Unmatched steel — out of scope
Sheet1,10,18/02/2569,,A2007411,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29155,กก.,11.4133253301321,332755.5,,Unmatched steel — out of scope
Sheet1,11,17/03/2569,,A2007449,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,30235,กก.,11.5809426161733,350149.8,,Unmatched steel — out of scope
Sheet1,12,28/04/2569,,A2007514,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29115,กก.,12.937777777777802,376683.4,,Unmatched steel — out of scope
Sheet1,13,07/05/2569,,A2007525,0051,จีสตีล,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29285,กก.,12.3755847703603,362419,,Unmatched steel — out of scope
Sheet1,14,02/06/2569,,A2007573,0059,สิงห์ไทย,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29180,กก.,10.9218094585332,318698.4,,Unmatched steel — out of scope
Sheet1,15,03/06/2569,,A2007574,0059,สิงห์ไทย,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29095,กก.,10.6279841897233,309221.2,,Unmatched steel — out of scope
Sheet1,16,06/06/2569,,A2007583,0059,สิงห์ไทย,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29460,กก.,10.8928173794976,320902.4,,Unmatched steel — out of scope
Sheet1,17,20/06/2569,,A2007598,0059,สิงห์ไทย,เหล็กหนาพิเศษ,(UNMATCHED STEEL),0101,29160,กก.,10.7024691358025,312084,,Unmatched steel — out of scope
Sheet1,20,06/01/2569,,A2007346,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,10030,กก.,9.65564659427443,96846.14,,Unmatched steel — out of scope
Sheet1,21,08/01/2569,,A2007352,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30380,กก.,10.1323469387755,307820.7,,Unmatched steel — out of scope
Sheet1,22,09/01/2569,,A2007355,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28270,กก.,9.73122037495578,275101.6,,Unmatched steel — out of scope
Sheet1,23,10/01/2569,,A2007362,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29350,กก.,9.77494037478705,286894.5,,Unmatched steel — out of scope
Sheet1,24,14/01/2569,,A2007367,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29460,กก.,9.9722878479294,293783.6,,Unmatched steel — out of scope
Sheet1,25,15/01/2569,,A2007369,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29100,กก.,9.98089347079038,290444,,Unmatched steel — out of scope
Sheet1,26,17/01/2569,,A2007371,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29025,กก.,10.0066838931955,290444,,Unmatched steel — out of scope
Sheet1,27,20/01/2569,,A2007373,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28985,กก.,9.99954459203036,289836.8,,Unmatched steel — out of scope
Sheet1,28,26/01/2569,,A2007380,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29030,กก.,10.402032380296301,301971,,Unmatched steel — out of scope
Sheet1,29,28/01/2569,,A2007383,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30725,กก.,10.723918633035,329492.4,,Unmatched steel — out of scope
Sheet1,30,30/01/2569,,A2007387,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30040,กก.,10.3014114513981,309454.4,,Unmatched steel — out of scope
Sheet1,31,06/02/2569,,A2007399,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29330,กก.,10.7933515172179,316569,,Unmatched steel — out of scope
Sheet1,32,07/02/2569,,A2007401,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30555,กก.,10.3657993781705,316727,,Unmatched steel — out of scope
Sheet1,33,11/02/2569,,A2007404,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30025,กก.,10.3521931723564,310824.6,,Unmatched steel — out of scope
Sheet1,34,14/02/2569,,A2007409,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29210,กก.,10.967182471756201,320351.4,,Unmatched steel — out of scope
Sheet1,35,21/02/2569,,A2007416,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29545,กก.,10.9509967845659,323547.2,,Unmatched steel — out of scope
Sheet1,36,23/02/2569,,A2007418,0001,ลูกค้าทั่วไป,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,117.8,กก.,20,2356,,Unmatched steel — out of scope
Sheet1,37,24/02/2569,,A2007419,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29430,กก.,10.9413659531091,322004.4,,Unmatched steel — out of scope
Sheet1,38,05/03/2569,,A2007430,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30300,กก.,10.8163300330033,327734.8,,Unmatched steel — out of scope
Sheet1,39,10/03/2569,,A2007438,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29285,กก.,11.0938671674919,324883.9,,Unmatched steel — out of scope
Sheet1,40,16/03/2569,,A2007447,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29360,กก.,10.598886239782,311183.3,,Unmatched steel — out of scope
Sheet1,41,18/03/2569,,A2007451,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29090,กก.,11.5838432451014,336974,,Unmatched steel — out of scope
Sheet1,42,23/03/2569,,A2007458,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30220,กก.,11.632256783587,351526.8,,Unmatched steel — out of scope
Sheet1,43,26/03/2569,,A2007463,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29185,กก.,11.9537570669865,348870.4,,Unmatched steel — out of scope
Sheet1,44,31/03/2569,,A2007474,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29115,กก.,12.312691052722,358484,,Unmatched steel — out of scope
Sheet1,45,03/04/2569,,A2007480,709,บริษัท เอบี สตีล จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29270,กก.,12.2559617355654,358732,,Unmatched steel — out of scope
Sheet1,46,07/04/2569,,A2007485,709,บริษัท เอบี สตีล จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,30295,กก.,12.2751609176432,371876,,Unmatched steel — out of scope
Sheet1,47,27/04/2569,,A2007512,709,บริษัท เอบี สตีล จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29070,กก.,12.593106295149601,366081.60000000003,,Unmatched steel — out of scope
Sheet1,48,30/04/2569,,A2007517,709,บริษัท เอบี สตีล จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29005,กก.,12.333735562834002,357740,,Unmatched steel — out of scope
Sheet1,49,05/05/2569,,A2007522,710,บริษัท มิลล์คอนบูรพา จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29215,กก.,12.567413999657703,367157,,Unmatched steel — out of scope
Sheet1,50,08/05/2569,,A2007526,709,บริษัท เอบี สตีล จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,27360,กก.,11.904375,325703.7,,Unmatched steel — out of scope
Sheet1,51,11/05/2569,,A2007531,0013,เหล็กสยามยามาโตะ,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29175,กก.,11.9486203941731,348601,,Unmatched steel — out of scope
Sheet1,52,12/05/2569,,A2007532,0013,เหล็กสยามยามาโตะ,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29075,กก.,11.599105760963,337244,,Unmatched steel — out of scope
Sheet1,53,15/05/2569,,A2007539,0013,เหล็กสยามยามาโตะ,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28930,กก.,11.299602488766,326897.5,,Unmatched steel — out of scope
Sheet1,54,23/05/2569,,A2007553,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29090,กก.,10.887383980749402,316714,,Unmatched steel — out of scope
Sheet1,55,29/05/2569,,A2007566,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29165,กก.,10.1867649579976,297097,,Unmatched steel — out of scope
Sheet1,56,04/06/2569,,A2007579,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,26970,กก.,10.462439747868,282172,,Unmatched steel — out of scope
Sheet1,57,05/06/2569,,A2007580,0059,สิงห์ไทย,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29450,กก.,10.896502546689302,320902,,Unmatched steel — out of scope
Sheet1,58,08/06/2569,,A2007586,0046,บ.หยงซิงสตีล,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28970,กก.,10.600289955126,307090.4,,Unmatched steel — out of scope
Sheet1,59,19/06/2569,,A2007594,710,บริษัท มิลล์คอนบูรพา จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28955,กก.,10.762769815230502,311636,,Unmatched steel — out of scope
Sheet1,60,22/06/2569,,A2007600,710,บริษัท มิลล์คอนบูรพา จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28850,กก.,10.7288734835355,309528,,Unmatched steel — out of scope
Sheet1,61,22/06/2569,,A2007602,710,บริษัท มิลล์คอนบูรพา จำกัด,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29260,กก.,10.7483253588517,314496,,Unmatched steel — out of scope
Sheet1,62,27/06/2569,,A2007615,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,29415,กก.,10.49,308563.35,,Unmatched steel — out of scope
Sheet1,63,01/07/2569,,A2007619,0034,เชาว์สตีล ปราจีนบุรี (ผ่านตัวแทน),เหล็กหนาสั้น,(UNMATCHED STEEL),0103,28885,กก.,10.3538133979574,299069.9,,Unmatched steel — out of scope
Sheet1,64,04/07/2569,,A2007623,0001,ลูกค้าทั่วไป,เหล็กหนาสั้น,(UNMATCHED STEEL),0103,0.8,กก.,25,20,,Unmatched steel — out of scope
